sentence,command
set your journey in the backward direction,2
start going in backward direction,2
start going backward,2
you move in the backward direction,2
you move in backward direction,2
move in backward direction,2
go backward,2
go in backward direction,2
step backward,2
step towards backward direction,2
step towards the backward direction,2
go towards backward direction,2
move towards backward direction,2
will you please go backward,2
wll you please step backward,2
will you please go in the backward direction,2
will you please step in backward direction,2
move backward please,2
i command you to move backward,2
i command you to step backward,2
i command you to go backward,2
i command you to set your journey towards backward direction,2
i command you to move in the backward direction,2
i command you to move in backward direction,2
i command you to step in the backward direction,2
i command you to step in backward direction,2
i command you to go in backward direction,2
i command you to go in the backward direction,2
i command you to set your journey towards the backward direction,2
i command you to set your journey in backward direction,2
i command you to set your journey in the backward direction,2
move your body backward,2
move your body in the backward direction,2
move your body in backward direction,2
move your body towards the backward direction,2
move your body towards backward direction,2
you move your body backward,2
you move your body in the backward direction,2
you move your body in backward direction,2
you move your body towards the backward direction,2
you move your body towards backward direction,2
set your steps backward,2
you go backward,2
you step backward,2
go in the backward direction,2
you go in the backward direction,2
you go in backward direction,2
you step in the backward direction,2
set your journey in backward direction,2
start going in the backward direction,2
you move towards backward direction,2
you move towards the backward direction,2
go towards the backward direction,2
move towards the backward direction,2
you move in the backward direction,2
i command you to move your body backward,2
i command you to move your body in the backward direction,2
i command you to move your body in backward direction,2
will you move backward,2
will you go backward,2
will you step backward,2
will you move in backward direction,2
will you move in the backward direction,2
will you move your body backward,2
will you move your body in the backward direction,2
will you go in backward direction,2
will you go in the backward direction,2
will you step in backward direction,2
will you step in the backward direction,2
you just go in backward direction,2
you just go backward,2
you just go in the backward direction,2
please go backward,2
please step backward,2
please go in the backward direction,2
please move in the backward direction,2
please go in the backward direction,2
please go in backward direction,2
please move your body in the backward direction,2
please move your body in backward direction,2
you just move your body in backward direction,2
you just move your body in the backward direction,2
you start off in the backward direction,2
you start off in backward direction,2
please start off in the backward direction,2
please start off in backward direction,2
will you start off in the backward direction,2
will you start off in backward direction,2
you just start off in the backward direction,2
you start moving backward,2
you begin your journey by moving backward,2
you begin the journey by moving backward,2
will you please shift in the backward direction,2
you shift in backward direction,2
you shift in the backward direction,2
will you please shift in backward direction,2
will you shift in backward direction,2
will you shift in the backward direction,2
you move straight in the backward direction,2
you go straight in the backward direction,2
you move straight in backward direction,2
you go straight in backward direction,2
move right,3
please move right,3
will you move right,3
will you please move right,3
can you move right,3
can you please move right,3
try to move right,3
please try to move right,3
begin to move right,3
please begin to move right,3
start to move right,3
 go right,3
please go right,3
will you go to right,3
will you please go to right,3
can you go to right,3
can you please go to right,3
try to go to right,3
please try to go to right,3
begin to go to right,3
start to got to right,3
turn right,3
please turn right,3
can you turn to right,3
can you please turn to right,3
will you turn to right,3
will you please turn to right,3
begin to turn to right,3
start to turn to right,3
just turn right,3
please begin to turn right,3
run right,3
please run right,3
will you run to right,3
will you please run to right,3
can you run in right direction,3
can you run right,3
run in right direction,3
start to run to right,3
begin to run in right direction,3
shift to right,3
please shift to right,3
will you shift to right,3
will you please shift to right,3
can you shift right,3
can you please shift to right,3
shift to right direction,3
start journey to right,3
begin to shift to right,3
just shift to right,3
please start to shift to right,3
displace to right,3
please displace to right,3
can you displace to right,3
can you please displace to right,3
will you displace to right,3
will you please displace to right,3
start to displace to right,3
begin to displace to right,3
please start to displace in right direction,3
please begin to displace in right direction,3
step to right,3
please step to right,3
can you step to right,3
can you please step to right,3
will you step to right,3
will you please step to right,3
start to step in rigth direction,3
begin to step in right direction,3
please start to step to right,3
please begin to step to right,3
proceed to right,3
please proceed to right,3
can you displace to right,3
can you please displace to right,3
will you displace to right,3
will you please displace to right,3
start to displace to right,3
begin to displace to right,3
you start to displace in right direction,3
please head to displace in right,3
walk to right,3
please walk to right,3
can you walk to right,3
can you please walk to right,3
will you walk to right,3
will you please walk to right,3
start to walk to right,3
please start to walk to right,3
begin to walk in right direction,3
take yourself to walk in right direction,3
travel to right,3
please travel to right,3
will you travel to right,3
will you please travel to right,3
can you travel to right,3
can you please travel to right,3
begin to travel to right,3
begin to travel in right direction,3
start to travel to right,3
take yourself to travel in right direction,3
head to right,3
please head to right,3
can you head to right,3
can you please head to right,3
will you head to right,3
will you please head to right,3
begin to head to right,3
begin to head in right direction,3
start  heading to right,3
start heading in right direction,3
move left,4
please move left,4
can you move left,4
can you please move left,4
will you move to left,4
will you please move to left,4
start to move left,4
begin to move left,4
have your journey by moving to left,4
please move in left direction,4
turn left,4
please turn left,4
will you turn to left,4
will you please turn to left,4
can you turn to left,4
can you please turn to left,4
please have a journey by turning left,4
begin to turn to left,4
start to turn to left,4
please start to move in left direction,4
go to left,4
please go to left,4
will you go to left,4
will you please go to left,4
can you go to left,4
can you please go to left,4
have a journey by going to left,4
start to go to left,4
begin to go in left direction,4
please begin to go to left,4
run left,4
please run to left,4
will you run to left,4
will you please run to left,4
can you run to left,4
can you please turn to left,4
have your journey by running left,4
start to run in left direction,4
begin to run to left,4
please begin to run in left direction,4
shift to left,4
please shift to left,4
will you please shift to left,4
will you shift to left,4
have a journey by shifting to left,4
just shift to left,4
can you shift to left,4
can you please shift in left direction,4
begin to shift in left direction,4
displace to left,4
please displace to left,4
will you please displace to left,4
will you displace in left direction,4
can you displace to left,4
can you please displace in left direction,4
have a journey by displacing in left direction,4
just displace to left,4
begin to displace to left,4
just start to displace in left direction,4
please begin to displace in left direction,4
step to left,4
please step to left,4
will you step to left,4
will you please step to left,4
can you please step to left,4
can you step to left,4
have a journey by stepping in left direction,4
start to step in left direction,4
begin to step to left,4
proceed to left,4
please proceed to left,4
will you proceed in left direction,4
wil you please proceed to left,4
can you proceed to left,4
can you please proceed in left direction,4
have a journey by proceeding in left direction,4
start to proceed in left direction,4
begin journey by proceeding in left direction,4
just proceed in left direction,4
please start to proceed to left,4
walk to left,4
please walk in left direction,4
have a journey by walking in left direction,4
will you walk to left,4
will you please walk in left direction,4
can you walk to left,4
can you please walk in left direction,4
just walk to left,4
begin to walk to left,4
start to walk in left direction,4
travel to left,4
please travel in left direction,4
have a journey by traveling in left direction,4
have a journey by travelling in left direction,4
can you travel to left,4
can you please walk in left direction,4
will you travel to left,4
will you please travel in left direction,4
just travel to left,4
begin to travel in left direction,4
head to your left,4
head to left,4
please head in left direction,4
please head to left,4
will you head to left,4
will you please head to in left direction,4
can you head to left,4
can you please head in left direction,4
just head yourself to left,4
start for heading in left direction,4
just head to your left,4
just head in left direction,4
just head yourself in left direction,4
have a journey by heading towards left,4
please start your journey by heading towards left,4
begin to head yourself in left direction,4
just start to head to left,4
please begin to head in left direction,4
start yourself heading towards left,4
please just head to your left,4
stop running,5
just stop running,5
stop running there,5
just stop running there,5
stop yourself running,5
stop yourself running there,5
please stop running,5
please stop running there,5
please stop yourself running,5
stop running please,5
stop moving,5
stop moving there,5
please stop moving,5
stop moving please,5
stop moving there please,5
stop yourself running there,5
just stop moving please,5
please just stop moving,5
just stop moving,5
please stop moving there,5
stop turning,5
stop turning there,5
please stop turning,5
please stop turning there,5
stop turning please,5
stop yorself turning,5
just stop turning,5
stop yourself turning there,5
just stop turning there please,5
please stop yourself turning,5
stop going,5
stop going there,5
please stop going,5
please stop going there,5
stop going please,5
stop going there please,5
just stop going ,5
just stop going there,5
stop yourself going,5
just stop yourself going there,5
stop shifting ,5
stop shifting there,5
please stop shifting,5
please stop shifting there,5
just stop shifting,5
just stop shifting there,5
stop yourself shifting there,5
stop yourself shifting,5
just stop yourself shifting,5
please stop yourself shifting,5
stop displacing,5
stop displacing there,5
please stop displacing,5
please stop displacing there,5
just stop displacing ,5
just stop displacing there,5
stop yourself displacing,5
stop youself displacing there,5
just stop yourself displacing,5
please stop yourself displacing,5
stop walking,5
stop walking there,5
please stop walking,5
stop walking please,5
pleases stop walking there,5
stop walking there please,5
just stop walking,5
just stop walking there,5
stop yourself walking,5
just stop yourself walking,5
stop traveling there,5
stop traveling,5
please stop traveling,5
please stop traveling there,5
stop traveling there please,5
stop traveling please,5
just stop traveling,5
just stop traveling there,5
stop yourself traveling there,5
stop yourself traveling,5
stop travelling,5
stop travelling there,5
please stop travelling,5
please stop travelling there,5
just stop travelling,5
just stop travelling there,5
stop yourself travelling,5
stop yourself travelling there ,5
please stop yourself travelling,5
just stop travelling please,5
stop heading,5
stop heading there,5
please stop heading,5
please stop heading there,5
stop heading there please,5
stop heading please,5
just stop heading,5
just stop heading there,5
stop yourself heading,5
please stop yourself heading there,5
stop stepping,5
stop stepping there,5
please stop stepping,5
please stop stepping there,5
stop stepping there please,5
just stop stepping,5
just stop stepping there,5
stop stepping please,5
stop yourself stepping,5
stop yourself stepping there,5
stop,5
